KOR; juneseo lee; Short Track Speed Skating; -; 1; -; 1; 2000
SLO; tim mastnak; Snowboard; -; 1; -; 2; 1991
NOR; paal golberg; Cross Country Skiing; -; 1; -; 3; 1990
CAN; marielle thompson; Freestyle Skiing; -; 1; -; 3; 1992
USA; megan keller; Ice Hockey; -; 1; -; 2; 1996
ROC; vladimir tkachev; Ice Hockey; -; 1; -; 1; 1993
SLO; cene prevc; Ski Jumping; -; 1; -; 1; 1996
BLR; anton smolski; Biathlon; -; 1; -; 2; 1996
ROC; arseniy gritsyuk; Ice Hockey; -; 1; -; 1; 2001
ROC; ruslan zakharov; Speed skating; -; 1; -; 3; 1987
GER; katharina althaus; Ski Jumping; -; 1; -; 1; 1996
ROC; evgeniy klimov; Ski Jumping; -; 1; -; 3; 1994
USA; cayla barnes; Ice Hockey; -; 1; -; 2; 1999
USA; maddie rooney; Ice Hockey; -; 1; -; 2; 1997
CAN; mikael kingsbury; Freestyle Skiing; -; 1; -; 3; 1992
ROC; nikita gusev; Ice Hockey; -; 1; -; 2; 1992
JPN; chinami yoshida; Curling; -; 1; -; 3; 1991
AUS; jackie narracott; Skeleton; -; 1; -; 2; 1990
GER; manuel faisst; Nordic Combined; -; 1; -; 1; 1993
GER; lena duerr; Alpine Skiing; -; 1; -; 2; 1991
USA; lee stecklein; Ice Hockey; -; 1; -; 3; 1994
KOR; alang kim; Short Track Speed Skating; -; 1; -; 3; 1995
USA; caroline harvey; Ice Hockey; -; 1; -; 1; 2002
ROC; victoria sinitsina; Figure skating; -; 1; -; 2; 1995
ROC; sergey trofimov; Speed skating; -; 1; -; 2; 1995
GER; alexandra burghardt; Bobsleigh; -; 1; -; 1; 1994
ROC; pavel karnaukhov; Ice Hockey; -; 1; -; 1; 1997
SLO; lovro kos; Ski Jumping; -; 1; -; 1; 1999
AUT; daniela ulbing; Snowboard; -; 1; -; 2; 1998
ITA; federico pellegrino; Cross Country Skiing; -; 1; -; 3; 1990
GER; christopher weber; Bobsleigh; -; 1; -; 2; 1991
CHN; wenlong li; Short Track Speed Skating; -; 1; -; 1; 2001
ROC; vadim shipachyov; Ice Hockey; -; 1; -; 2; 1987
ROC; stanislav galiev; Ice Hockey; -; 1; -; 1; 1992
USA; hilary knight; Ice Hockey; -; 1; -; 4; 1989
SUI; alex fiva; Freestyle Skiing; -; 1; -; 3; 1986
ITA; sofia goggia; Alpine Skiing; -; 1; -; 2; 1992
JPN; nana takagi; Speed skating; -; 1; -; 3; 1992
ROC; timur bilialov; Ice Hockey; -; 1; -; 1; 1995
GER; sofie krehl; Cross Country Skiing; -; 1; -; 1; 1995
JPN; kotomi ishizaki; Curling; -; 1; -; 3; 1979
GER; anna berreiter; Luge; -; 1; -; 1; 1999
GER; julian rauchfuss; Alpine Skiing; -; 1; -; 1; 1994
GBR; grant hardie; Curling; -; 1; -; 1; 1992
NOR; hans christer holund; Cross Country Skiing; -; 1; -; 2; 1989
ROC; eduard latypov; Biathlon; -; -; 3; 1; 
CAN; meryeta odine; Snowboard; -; -; 2; 2; 1997
GER; karl geiger; Ski Jumping; -; -; 2; 2; 1993
ROC; alexander terentev; Cross Country Skiing; -; -; 2; 1; 1999
ROC; alexander loginov; Biathlon; -; -; 2; 2; 1992
JPN; akito watabe; Nordic Combined; -; -; 2; 5; 1988
