Tokyo; 2020; Summer; Athletics; Men's 400m; https://olympics.com/en/olympic-games/tokyo-2020/results/athletics/men-s-400m
Tokyo; 2020; Summer; Athletics; Men's 400m Hurdles; https://olympics.com/en/olympic-games/tokyo-2020/results/athletics/men-s-400m-hurdles
Tokyo; 2020; Summer; Athletics; Men's 5000m; https://olympics.com/en/olympic-games/tokyo-2020/results/athletics/men-s-5000m
Tokyo; 2020; Summer; Athletics; Men's 50km Race Walk; https://olympics.com/en/olympic-games/tokyo-2020/results/athletics/men-s-50km-race-walk
Tokyo; 2020; Summer; Athletics; Men's 800m; https://olympics.com/en/olympic-games/tokyo-2020/results/athletics/men-s-800m
Tokyo; 2020; Summer; Athletics; Men's Decathlon; https://olympics.com/en/olympic-games/tokyo-2020/results/athletics/men-s-decathlon
Tokyo; 2020; Summer; Athletics; Men's Discus Throw; https://olympics.com/en/olympic-games/tokyo-2020/results/athletics/men-s-discus-throw
Tokyo; 2020; Summer; Athletics; Men's Hammer Throw; https://olympics.com/en/olympic-games/tokyo-2020/results/athletics/men-s-hammer-throw
Tokyo; 2020; Summer; Athletics; Men's High Jump; https://olympics.com/en/olympic-games/tokyo-2020/results/athletics/men-s-high-jump
Tokyo; 2020; Summer; Athletics; Men's Javelin Throw; https://olympics.com/en/olympic-games/tokyo-2020/results/athletics/men-s-javelin-throw
Tokyo; 2020; Summer; Athletics; Men's Long Jump; https://olympics.com/en/olympic-games/tokyo-2020/results/athletics/men-s-long-jump
Tokyo; 2020; Summer; Athletics; Men's Marathon; https://olympics.com/en/olympic-games/tokyo-2020/results/athletics/men-s-marathon
Tokyo; 2020; Summer; Athletics; Men's Pole Vault; https://olympics.com/en/olympic-games/tokyo-2020/results/athletics/men-s-pole-vault
Tokyo; 2020; Summer; Athletics; Men's Shot Put; https://olympics.com/en/olympic-games/tokyo-2020/results/athletics/men-s-shot-put
Tokyo; 2020; Summer; Athletics; Men's Triple Jump; https://olympics.com/en/olympic-games/tokyo-2020/results/athletics/men-s-triple-jump
