Country;Athlete;Sport;Games;Gold;Silver;Bronze;YearOfBirth
Russian Olympic Committee; Artem Minulin; Ice Hockey; 0; 1; 0; 1; 1998
Russian Olympic Committee; Alexander Elesin; Ice Hockey; 0; 1; 0; 1; 1996
Russian Olympic Committee; Artur Kayumov; Ice Hockey; 0; 1; 0; 1; 1998
Finland; Joni Maeki; Cross Country Skiing; 0; 1; 0; 1; 1995
Germany; Julian Schmid; Nordic Combined; 0; 1; 0; 1; 1999
Russian Olympic Committee; Danil Sadreev; Ski Jumping; 0; 1; 0; 1; 2003
Great Britain; Hammy Mcmillan; Curling; 0; 1; 0; 1; 1992
Russian Olympic Committee; Konstantin Ivliev; Short Track Speed Skating; 0; 1; 0; 1; 2000
Russian Olympic Committee; Irina Kazakevich; Biathlon; 0; 1; 0; 1; 1997
Russian Olympic Committee; Kirill Semenov; Ice Hockey; 0; 1; 0; 1; 1994
Russian Olympic Committee; Damir Sharipzianov; Ice Hockey; 0; 1; 0; 1; 1996
United States of America; Jaelin Kauf; Freestyle Skiing; 0; 1; 0; 2; 1996
Austria; Mirjam Puchner; Alpine Skiing; 0; 1; 0; 1; 1992
Republic of Korea; Juneseo Lee; Short Track Speed Skating; 0; 1; 0; 1; 2000
Slovenia; Tim Mastnak; Snowboard; 0; 1; 0; 2; 1991
Norway; Paal Golberg; Cross Country Skiing; 0; 1; 0; 3; 1990
Canada; Marielle Thompson; Freestyle Skiing; 0; 1; 0; 3; 1992
United States of America; Megan Keller; Ice Hockey; 0; 1; 0; 2; 1996
Russian Olympic Committee; Vladimir Tkachev; Ice Hockey; 0; 1; 0; 1; 1993
Slovenia; Cene Prevc; Ski Jumping; 0; 1; 0; 1; 1996
Belarus; Anton Smolski; Biathlon; 0; 1; 0; 2; 1996
Russian Olympic Committee; Arseniy Gritsyuk; Ice Hockey; 0; 1; 0; 1; 2001
Russian Olympic Committee; Ruslan Zakharov; Speed skating; 0; 1; 0; 3; 1987
Germany; Katharina Althaus; Ski Jumping; 0; 1; 0; 1; 1996
Russian Olympic Committee; Evgeniy Klimov; Ski Jumping; 0; 1; 0; 3; 1994
United States of America; Cayla Barnes; Ice Hockey; 0; 1; 0; 2; 1999
United States of America; Maddie Rooney; Ice Hockey; 0; 1; 0; 2; 1997
Canada; Mikael Kingsbury; Freestyle Skiing; 0; 1; 0; 3; 1992
Russian Olympic Committee; Nikita Gusev; Ice Hockey; 0; 1; 0; 2; 1992
Japan; Chinami Yoshida; Curling; 0; 1; 0; 3; 1991
Australia; Jackie Narracott; Skeleton; 0; 1; 0; 2; 1990
Germany; Manuel Faisst; Nordic Combined; 0; 1; 0; 1; 1993
Germany; Lena Duerr; Alpine Skiing; 0; 1; 0; 2; 1991
United States of America; Lee Stecklein; Ice Hockey; 0; 1; 0; 3; 1994
Republic of Korea; Alang Kim; Short Track Speed Skating; 0; 1; 0; 3; 1995
United States of America; Caroline Harvey; Ice Hockey; 0; 1; 0; 1; 2002
Russian Olympic Committee; Victoria Sinitsina; Figure skating; 0; 1; 0; 2; 1995
Russian Olympic Committee; Sergey Trofimov; Speed skating; 0; 1; 0; 2; 1995
Germany; Alexandra Burghardt; Bobsleigh; 0; 1; 0; 1; 1994
Russian Olympic Committee; Pavel Karnaukhov; Ice Hockey; 0; 1; 0; 1; 1997
Slovenia; Lovro Kos; Ski Jumping; 0; 1; 0; 1; 1999
Austria; Daniela Ulbing; Snowboard; 0; 1; 0; 2; 1998
